¡ˆ¡°,¡ˆ¡°∏Ì,¿œΩ√,∆Ú±’±‚ø¬(°∆C),√÷¿˙±‚ø¬(°∆C),√÷∞Ì±‚ø¬(°∆C),10∫– √÷¥Ÿ ∞≠ºˆ∑Æ(mm),1Ω√∞£ √÷¥Ÿ∞≠ºˆ∑Æ(mm),¿œ∞≠ºˆ∑Æ(mm),√÷¥Î º¯∞£ «≥º”(m/s),√÷¥Î «≥º”(m/s),∆Ú±’ «≥º”(m/s),√÷º“ ªÛ¥ÎΩ¿µµ(%),∆Ú±’ ªÛ¥ÎΩ¿µµ(%)
90,º”√ ,2021-02-08,-1.2,-3.9,1.5,,,,11.1,6.1,2.6,19,33.8
90,º”√ ,2021-02-09,1.7,-4.8,7.3,,,,10.6,5.8,2,19,28.4
90,º”√ ,2021-02-10,5.8,1.5,10.4,,,,12.8,6,2.5,30,42.9
90,º”√ ,2021-02-11,6.1,.6,10.7,,,,8.3,4.7,2,33,53.8
90,º”√ ,2021-02-12,6.7,1.5,13.8,,,,5.8,4.3,1.5,31,61
90,º”√ ,2021-02-13,4,.3,8.1,,,,5.7,3.5,1.2,45,79.8
90,º”√ ,2021-02-14,5.9,.9,11.1,,,.1,5.5,3.9,1.4,51,85.8
90,º”√ ,2021-02-15,3.1,-3.2,8.5,,,.1,13.5,6.7,2.8,25,56.3
90,º”√ ,2021-02-16,-2.9,-6.2,.7,,,,13,6.7,4,14,24.1
90,º”√ ,2021-02-17,-7.5,-10,-4.2,,,,11.4,6,2.9,21,28.8
90,º”√ ,2021-02-18,-4,-10.1,1.8,,,,6.5,3.4,1.4,20,31.5
90,º”√ ,2021-02-19,5.7,-4.3,11.1,,,,17.3,7.3,2.6,21,34.1
90,º”√ ,2021-02-20,12.7,7.9,17.8,,,,13.5,7.3,3,14,30.9
90,º”√ ,2021-02-21,7.4,3.1,14.4,,,,7.1,5.1,2.6,19,65.6
90,º”√ ,2021-02-22,4,1.9,7.6,,,,6.7,4.1,1.5,72,81.1
90,º”√ ,2021-02-23,.6,-2.5,3.6,,,,6.1,3.9,1.8,31,48.8
90,º”√ ,2021-02-24,1,-2.7,5.4,,,,4.9,3,1.7,31,48.8
90,º”√ ,2021-02-25,2.9,-1.9,7,,,,4,2,1.1,63,69.8
90,º”√ ,2021-02-26,4.5,.2,7.7,,,0,7.3,4.7,2.1,53,73.3
90,º”√ ,2021-02-27,3.9,1.7,6.5,,,4.8,7.4,4.1,1.8,66,83
90,º”√ ,2021-02-28,6.1,-1.5,10.7,,,,7,4.5,1.6,58,72.9
90,º”√ ,2021-03-01,2,-.4,10,,,73.4,10.2,6.2,3,43,90.8
90,º”√ ,2021-03-02,-1.3,-4.1,.5,,,7.6,8.8,5.8,2.1,76,87.8
90,º”√ ,2021-03-03,2.1,-4.5,7.4,,,,4.8,3.1,1.4,48,68.8
90,º”√ ,2021-03-04,5.9,.7,10.5,,,,6.5,2.6,1.1,45,60.5
90,º”√ ,2021-03-05,9.5,1.5,16.5,,,,6.3,3.8,1.6,28,59.1
90,º”√ ,2021-03-06,.5,-1.1,10.3,,,5.4,12.2,6.9,2.6,62,83.1
90,º”√ ,2021-03-07,1.7,-.9,5.1,,,.5,4.3,2.7,.9,72,85.3
90,º”√ ,2021-03-08,2.7,-.3,6.5,,,,5.8,3.6,1.5,73,86.5
90,º”√ ,2021-03-09,8.1,-.3,15.2,,,,9.3,4.3,1.7,27,60.8
90,º”√ ,2021-03-10,7.4,2.2,11.5,,,,9.2,6.1,2.6,28,60.8
90,º”√ ,2021-03-11,10.6,1.8,16.1,,,,5.8,3.8,1.6,28,54
90,º”√ ,2021-03-12,6.6,5.1,10.6,,,3.9,11.1,7.3,2.9,47,79.9
90,º”√ ,2021-03-13,6,2.4,10.1,,,,5.2,2.9,1.5,45,65.9
90,º”√ ,2021-03-14,8,3,13.2,,,,3.6,2.4,1.1,65,79.4
90,º”√ ,2021-03-15,10.6,4,14.2,,,,5.7,3.5,1.1,36,63
90,º”√ ,2021-03-16,10.5,4.8,15.9,,,0,13.1,6.7,2.6,15,53.4
90,º”√ ,2021-03-17,7.3,2.8,10.3,,,,7.1,4.8,1.8,39,61.3
90,º”√ ,2021-03-18,7.1,5.2,9.1,,,,7.8,5.4,1.9,71,78.1
90,º”√ ,2021-03-19,7.4,6.2,9,,,,6.1,3.8,1.5,73,81.9
90,º”√ ,2021-03-20,7.4,5.7,9.9,,,.9,7,5,1.8,66,86.3
90,º”√ ,2021-03-21,7.3,4.7,11.6,,,,14.6,7.6,3.2,26,53.1
90,º”√ ,2021-03-22,8.1,3,12.8,,,,11.4,5.9,3.1,18,29.5
90,º”√ ,2021-03-23,12.8,6.5,18.9,,,,12.7,6.6,2.7,14,22.6
90,º”√ ,2021-03-24,13.8,9.5,17.8,,,,11.2,6.8,2.3,16,30.5
90,º”√ ,2021-03-25,14.3,9.5,18.7,,,,10.1,5.9,2.1,20,41.5
90,º”√ ,2021-03-26,13.6,10.1,17.9,,,,7.5,4.5,2.3,21,54.9
90,º”√ ,2021-03-27,9.1,7.3,11.4,,,9.2,5.9,4.3,1.5,77,86.6
90,º”√ ,2021-03-28,12.4,7.9,17.3,,,3.3,10.3,6.1,2,47,73.1
90,º”√ ,2021-03-29,13.8,9.4,18.6,,,0,18.1,9.3,4.5,18,34
90,º”√ ,2021-03-30,12.2,7.2,18.6,,,,7.4,4.5,2,15,35.9
90,º”√ ,2021-03-31,11.1,5.4,15.2,,,,5,3.1,1.3,34,67.1
90,º”√ ,2021-04-01,10,7.3,13.1,,,,5.1,3.5,1.8,77,88.4
90,º”√ ,2021-04-02,11.3,7.3,15.5,,,,5.6,3.9,1.4,70,83.4
90,º”√ ,2021-04-03,10.1,9.2,11.4,1.7,5.9,40.5,9.6,5.7,2.1,69,87
90,º”√ ,2021-04-04,7.5,3,10.8,1,5.1,12.1,11.7,7.7,3.3,43,66.1
90,º”√ ,2021-04-05,8.9,2,14.2,,,,7.3,4.7,2,33,51.8
90,º”√ ,2021-04-06,14.1,5.4,20.4,,,,8.9,4.8,1.8,19,48
90,º”√ ,2021-04-07,14.6,9.2,17.6,,,,11.5,7,2.7,24,48.6
90,º”√ ,2021-04-08,11,7.8,14.1,1.4,1.8,1.8,10.3,6.7,2.6,33,60.6
90,º”√ ,2021-04-09,9.4,4.2,12.8,,,,10.1,5.8,3.3,38,50.9
90,º”√ ,2021-04-10,9.4,2.1,14.7,,,,10.1,6.6,2.4,43,60.6
90,º”√ ,2021-04-11,12.2,6.6,18.2,,,,10.7,5.9,2.1,41,71.6
90,º”√ ,2021-04-12,11,8.9,14.7,.7,2.9,12,4.3,2.9,1,66,85.4
90,º”√ ,2021-04-13,13.5,8.8,19.5,.6,2,4.5,13.5,7.3,2.5,25,57.5
90,º”√ ,2021-04-14,10.7,5.2,15.1,,,,9.1,5.6,2.3,25,44.6
90,º”√ ,2021-04-15,12.4,8,16.5,,,,10.7,6.7,2.7,27,42.6
90,º”√ ,2021-04-16,14.5,8.7,18.8,,,,13.3,5.4,2.5,28,39.4
90,º”√ ,2021-04-17,11.1,7.2,16.4,0,0,0,13,6.7,2.6,21,38
90,º”√ ,2021-04-18,12.1,7.6,15,,,,9.2,5.3,2.6,31,45.1
90,º”√ ,2021-04-19,18.2,10.5,23.8,,,,19.9,9.5,4.1,17,26.8
90,º”√ ,2021-04-20,16.8,11.6,23.5,,,,10.9,5.6,2.8,21,46
90,º”√ ,2021-04-21,13.9,8.3,17.5,,,,6,4.3,1.3,50,73
90,º”√ ,2021-04-22,13.9,10.9,17.9,,,,8.5,5.2,1.5,59,85.3
90,º”√ ,2021-04-23,11.7,11,13.4,,,,6.1,4.2,2.4,83,91.9
90,º”√ ,2021-04-24,12.9,9.5,17.6,,,,4.7,3.8,1.5,43,77
90,º”√ ,2021-04-25,11.7,6.5,16,0,0,0,9.6,5.4,2.5,41,59.4
90,º”√ ,2021-04-26,11.7,4.8,17,,,,11.5,7.1,2.6,47,64.8
90,º”√ ,2021-04-27,15.8,10.5,20.3,0,0,0,7.7,3.5,1.3,33,54.4
90,º”√ ,2021-04-28,18.2,13.6,22.6,,,,11.2,5.5,2.6,15,31.6
90,º”√ ,2021-04-29,11.8,9.7,16.7,1.4,2.7,3.8,6.3,,1.3,31,65.6
90,º”√ ,2021-04-30,9.9,7.7,13.4,1,4.4,22.5,8.2,5.6,2,59,86
90,º”√ ,2021-05-01,9.7,8.1,12.1,2.7,8.3,32,11,7.6,3.1,65,88.5
90,º”√ ,2021-05-02,13.4,7.6,16.9,1.2,3.3,4.2,7.3,4.4,1.7,32,58.9
90,º”√ ,2021-05-03,17.4,13.9,22.7,,,,9.8,5.2,2.2,17,37.8
90,º”√ ,2021-05-04,16.2,10.8,19.7,.5,1.3,1.2,10.8,7.7,2.1,14,57.6
90,º”√ ,2021-05-05,17,10.8,21.9,.4,2,3.2,13.2,6.6,3,18,41.4
90,º”√ ,2021-05-06,19.1,13.5,26.4,,,,9.6,5,2.1,18,35.5
90,º”√ ,2021-05-07,18.8,14,23.6,.7,1.9,1.9,22.8,10,4,17,37
90,º”√ ,2021-05-08,18.7,14,24.3,0,0,0,19.1,7.6,3.7,25,34.8
90,º”√ ,2021-05-09,18.4,14,23.5,,,,20.2,7.8,3.9,14,26.8
90,º”√ ,2021-05-10,16.2,10.2,19.6,,,,6.1,3.8,1.9,24,41.3
90,º”√ ,2021-05-11,14.1,7.7,19,,,,7.8,5.2,1.9,56,70.1
90,º”√ ,2021-05-12,13.7,8.2,19.1,,,,4.1,2.8,1.4,62,78.8
90,º”√ ,2021-05-13,15.2,10.5,19.8,,,,4.3,3.1,1.5,69,80.4
90,º”√ ,2021-05-14,16.1,12.1,21.1,,,,5.2,3.8,1.7,71,85.5
90,º”√ ,2021-05-15,16,14.8,19,2.1,2.7,2.9,4.4,3.1,1.4,81,91.5
90,º”√ ,2021-05-16,12.6,9.9,15.8,3.4,12.1,67,11.8,8.1,2.8,90,94.4
90,º”√ ,2021-05-17,12.9,10,15.7,.4,1.5,2.1,4.3,2.7,.9,70,85.6
90,º”√ ,2021-05-18,15.3,9.1,20.7,,,,7.4,5.5,2,59,82.9
90,º”√ ,2021-05-19,22.4,14.1,28.6,,,,6.6,5,1.4,21,46
90,º”√ ,2021-05-20,17,14.3,22.5,1.2,4.2,5,7.9,5.1,1.5,38,72.9
90,º”√ ,2021-05-21,15.1,12.7,18.3,1,3.1,13.8,10.3,7.4,2.7,61,79
90,º”√ ,2021-05-22,21,13.8,28.3,,,,4.3,3.1,1.4,38,61.4
90,º”√ ,2021-05-23,23.7,16.6,29.8,,,,7.8,4.6,1.7,31,51.4
90,º”√ ,2021-05-24,20.9,15.8,24.8,,,,10,6.2,1.9,22,41.9
90,º”√ ,2021-05-25,15.7,11.8,20.3,.2,.3,.4,16.5,8.2,2.8,33,58.5
90,º”√ ,2021-05-26,20.4,13.7,26.2,,,,12.6,4.7,2.1,26,38.8
90,º”√ ,2021-05-27,16,13,22.4,1.1,2.6,5.2,10.2,3.9,1.4,36,77.8
90,º”√ ,2021-05-28,15.6,13,21.1,.9,,4.1,12.7,6,2.5,52,76.8
90,º”√ ,2021-05-29,15.8,12.6,19.3,1.1,4.1,4.3,7.9,4,2,50,75
90,º”√ ,2021-05-30,17.8,11.8,22.3,,,,6.7,4.4,1.9,46,62.1
90,º”√ ,2021-05-31,16.3,14,20.6,1.9,5.2,7.6,5.4,3.1,1.3,76,89.1
90,º”√ ,2021-06-01,16.2,13.3,18.6,.2,.3,.3,5.9,3.4,1.1,84,91.8
90,º”√ ,2021-06-02,17.1,13.9,21.3,,,,5.5,3.5,1.3,76,90.9
90,º”√ ,2021-06-03,15.9,14,18.4,.9,3.2,10.2,11.5,8,1.6,79,95
90,º”√ ,2021-06-04,21.3,12.9,26.8,.3,1.4,1.3,15.3,6.5,2.1,27,44.6
90,º”√ ,2021-06-05,23.2,19.6,28.2,,,,9.5,4.6,2.3,26,43
90,º”√ ,2021-06-06,22.9,19,27.4,,,,7,4.7,2.3,35,55.1
90,º”√ ,2021-06-07,24.5,19.9,30,0,0,0,8.1,4.8,2,35,54.5
90,º”√ ,2021-06-08,20.2,17.6,23.7,.3,.3,.5,6.4,4.9,1.8,55,77.4
90,º”√ ,2021-06-09,19.9,17,23.2,,,,7.1,5.3,2.1,75,86.5
90,º”√ ,2021-06-10,18.9,17.7,20.8,.3,.8,.8,6.3,3.8,1.3,82,90.4
90,º”√ ,2021-06-11,23.5,18,29.4,.7,2.3,5,10.7,4.8,1.5,48,69
90,º”√ ,2021-06-12,21.9,17.8,25.6,,,,6,4,1.8,58,73.8
90,º”√ ,2021-06-13,19.3,15.2,23.2,,,,6.5,4.2,1.6,79,91
90,º”√ ,2021-06-14,20.3,18,23.3,,,,4.6,3.2,1.2,77,87.6
90,º”√ ,2021-06-15,20.1,19.4,21.1,.4,1,.1,5.1,3.2,1,89,94.5
90,º”√ ,2021-06-16,19,17.7,21.2,.7,,3.4,6.2,3.7,2,79,88.5
90,º”√ ,2021-06-17,18.7,16.2,21.1,0,0,0,6.6,4.6,1.7,69,83.9
90,º”√ ,2021-06-18,22.5,17.9,28.7,,,,9,4.3,1.3,48,72.4
90,º”√ ,2021-06-19,21,18.4,23.9,,,,6.7,3.3,1.9,52,78.5
90,º”√ ,2021-06-20,20.7,18.5,23.4,0,0,0,9.3,6.4,3.1,71,83.9
90,º”√ ,2021-06-21,18.8,16.4,20.9,2.1,3.7,6.6,9.4,6.2,2.2,74,86.5
90,º”√ ,2021-06-22,17.4,16.2,19.4,6.6,7.1,7.7,4.7,3,1,77,88.6
90,º”√ ,2021-06-23,18.5,15.6,22.9,,,,5.6,4.1,1.4,67,83
90,º”√ ,2021-06-24,19.4,14,23.9,,,,6,4.4,1.9,72,84
90,º”√ ,2021-06-25,20.8,16.5,24.9,,,,6.9,5,1.9,73,86
90,º”√ ,2021-06-26,20.3,18.8,22.7,.5,2.1,7.8,3.1,2.3,.8,73,92.5
90,º”√ ,2021-06-27,21.4,18.3,25,,,,3.2,2.2,1,75,89.4
90,º”√ ,2021-06-28,21.5,19.1,24.5,0,0,0,3.8,2.5,1,76,87.8
90,º”√ ,2021-06-29,21.9,17.4,25.8,0,0,0,6,4,1.8,69,82.5
90,º”√ ,2021-06-30,21.4,18.9,24.3,.1,.1,.1,6.9,4.8,1.8,80,89.1
90,º”√ ,2021-07-01,22.5,18.9,26.4,,,,6.5,4.4,1.8,73,86.8
90,º”√ ,2021-07-02,22.6,20.7,25.6,,,,4.1,3.1,1,72,84.4
90,º”√ ,2021-07-03,21.1,19.7,24.6,2.7,8.9,37,8.3,4.9,1.5,76,89.8
90,º”√ ,2021-07-04,20.5,19.2,21.7,3.8,13.3,50.3,9.5,5.9,2.7,86,93.3
90,º”√ ,2021-07-05,24.8,18.1,29.9,,,,7.2,3.2,1.1,50,70.8
90,º”√ ,2021-07-06,23.4,20.6,26.7,,,,4.4,3.2,1.1,65,79.9
90,º”√ ,2021-07-07,23.6,19.9,26.7,,,,5.3,3.5,1.5,77,87.1
90,º”√ ,2021-07-08,23.5,22.1,27.3,.9,3.6,6.2,4,2.7,1.2,79,92.4
90,º”√ ,2021-07-09,23.3,20.6,27.1,.7,1.9,2.2,4.6,3.2,1.4,79,90.1
90,º”√ ,2021-07-10,22.8,19.7,26.6,.6,.9,1.9,7.5,5.3,1.7,79,91.6
90,º”√ ,2021-07-11,26.7,21.4,31.2,,,,7.9,5.2,1.8,55,74.1
90,º”√ ,2021-07-12,26.5,23.5,29.9,,,,5,3.8,1.4,70,80.8
90,º”√ ,2021-07-13,25.9,23.4,29.4,,,,5,3.7,1.8,76,88.4
90,º”√ ,2021-07-14,26.3,24.6,29.3,,,,4.6,3.5,1.4,78,86.5
90,º”√ ,2021-07-15,27,25.1,30.1,0,0,0,5.2,3.6,1.5,74,85.1
90,º”√ ,2021-07-16,26.6,23.8,30.8,,,,6.9,5.1,1.8,74,85.8
90,º”√ ,2021-07-17,25.2,22.7,28.4,1,4.6,5.1,3,2.2,.9,78,86.9
90,º”√ ,2021-07-18,26.3,22.4,30,,,,4.9,3.7,1.5,74,84.6
90,º”√ ,2021-07-19,27,23.1,31.2,,,,5.1,3.6,1.4,71,83.1
90,º”√ ,2021-07-20,26.8,23.6,30.5,,,,4.4,3,1.2,74,85.6
90,º”√ ,2021-07-21,27.1,23.9,31.4,,,,5.5,4.4,1.5,69,84.1
90,º”√ ,2021-07-22,25.9,21.8,30.7,,,,6,4.3,1.6,72,84.1
90,º”√ ,2021-07-23,26.3,22.6,30.8,,,,6.5,4.6,1.8,70,84.3
90,º”√ ,2021-07-24,26.6,23.4,30.4,,,,6.5,4.7,1.6,73,86
90,º”√ ,2021-07-25,26.4,22.6,30.3,,,,4,2.9,1.5,73,84.9
90,º”√ ,2021-07-26,27.3,24.7,31.2,0,0,0,4.2,3.1,1.4,69,84.1
90,º”√ ,2021-07-27,27.6,24.2,31.7,,,,4,3,1.2,68,81
90,º”√ ,2021-07-28,27.1,22.9,31.6,,,,3.5,2.6,1.3,66,78
90,º”√ ,2021-07-29,27.4,22.9,32.1,,,,5.3,3.8,1.8,66,79.9
90,º”√ ,2021-07-30,28.4,23.9,32.9,,,,4.9,3.6,1.4,69,80.5
90,º”√ ,2021-07-31,28.4,25.2,33.2,1,1.4,1.4,3.4,2.5,.9,64,83
90,º”√ ,2021-08-01,27.7,25,31.4,.3,.5,.6,4,3.3,1.1,71,86.1
90,º”√ ,2021-08-02,26.5,24.6,29.6,3.7,5.3,8.5,4.4,3.1,1,80,89.8
90,º”√ ,2021-08-03,27.9,24.5,31.8,0,0,0,5.9,4,1.2,63,83.8
90,º”√ ,2021-08-04,29.2,25.6,33.8,0,0,0,6.8,4.8,1.6,58,75.6
90,º”√ ,2021-08-05,29.1,24.6,33.5,,,,8.4,5.6,1.8,53,71.8
90,º”√ ,2021-08-06,27.1,22.9,33.1,5.3,15.7,16.2,9.3,4.1,1.5,66,80
90,º”√ ,2021-08-07,26.5,22.8,30.1,,,,6,3.9,1.6,72,82.4
90,º”√ ,2021-08-08,23.7,21.7,26.7,22.5,67.5,83.5,10,5.4,1.6,77,88.4
90,º”√ ,2021-08-09,24.3,21.9,27.6,6.1,15.4,24.3,10.7,7.3,3.2,69,84.1
90,º”√ ,2021-08-10,23.6,20.4,28.4,2,4.4,5.9,9.8,6.9,1.9,69,84.6
90,º”√ ,2021-08-11,24.1,20.4,28.3,,,,4,2.7,.9,65,84
90,º”√ ,2021-08-12,24.2,21.7,27.4,,,,5.3,3.8,1.5,75,84.6
90,º”√ ,2021-08-13,23.8,21.4,26.9,0,0,0,6.6,4.7,1.8,74,82.6
90,º”√ ,2021-08-14,22.7,20.9,24.5,4.2,8.9,13,9.3,5.8,3.1,67,84
90,º”√ ,2021-08-15,22.1,19.8,25.1,.5,1.2,1.9,5.3,3.6,1.6,66,81.5
90,º”√ ,2021-08-16,22.7,19.8,26.5,,,,4.7,3.4,1.5,68,80.3
90,º”√ ,2021-08-17,21.6,20.4,24.2,4.5,8.2,17.5,7.6,5.3,1.8,78,87.1
90,º”√ ,2021-08-18,22,20.7,23.8,6.4,15.3,25.3,9.5,6.1,2.3,80,87.8
90,º”√ ,2021-08-19,22.9,20.7,25.5,0,0,0,7.7,5.3,2.5,76,82.8
90,º”√ ,2021-08-20,23.6,20.9,27,0,0,0,5.3,4,1.6,66,78.9
90,º”√ ,2021-08-21,23.6,20.2,29.4,1,4.2,7.7,12.3,6.3,1.5,56,83.8
90,º”√ ,2021-08-22,27.5,24.9,30.9,,,,12.5,5.2,2.7,45,54.9
90,º”√ ,2021-08-23,23.2,20,26.3,.1,.1,.1,6,2.5,.8,56,75.3
90,º”√ ,2021-08-24,21.2,19.6,22.8,2.7,6.1,21,3.5,2.4,.7,90,97.1
90,º”√ ,2021-08-25,22.1,21.4,23,.2,.4,.9,4.7,3.5,1.1,89,94
90,º”√ ,2021-08-26,24.4,20.9,29.1,,,,7.6,4.1,1.3,51,80.8
90,º”√ ,2021-08-27,24.4,20.4,28.1,.1,.1,.1,11.4,5.7,2.1,44,63
90,º”√ ,2021-08-28,25.8,21,30.8,,,,9.2,4.9,1.9,42,55.5
90,º”√ ,2021-08-29,24.8,21,27.8,.3,.4,.4,5.5,2.8,1.1,51,61.1
90,º”√ ,2021-08-30,23.8,19.9,28.6,0,0,0,4.4,2.8,1.2,48,69
90,º”√ ,2021-08-31,21.1,17.1,24.7,1.8,6.6,20.2,7,5,1.6,62,81.1
90,º”√ ,2021-09-01,19.1,16.9,21,1.7,7.2,30.6,8,4.4,1.6,87,96.5
90,º”√ ,2021-09-02,21.2,17.9,24.9,,,,3.9,2.4,1.4,69,84.4
90,º”√ ,2021-09-03,21.3,17.9,25.8,,,,4.4,3.2,1.8,59,77.6
90,º”√ ,2021-09-04,21.2,17.5,25.2,.4,.9,1.5,6.3,4,2.4,59,75.6
90,º”√ ,2021-09-05,21.1,18.2,24.4,3,9.5,15.8,7.3,4.4,2.3,71,86.3
90,º”√ ,2021-09-06,22.5,18.9,25.2,1.7,2.6,2.6,8.5,5.8,3.1,64,76.6
90,º”√ ,2021-09-07,19.1,17.4,22.3,2.2,7.9,43.1,9,5.7,2.4,75,94.6
90,º”√ ,2021-09-08,20.3,17.4,24.1,1,2.6,5.6,5.9,4,1.6,74,89
90,º”√ ,2021-09-09,21.8,16.8,26.3,,,,6,4.5,1.5,68,83.8
90,º”√ ,2021-09-10,22.9,17.7,26.1,,,,5.4,4,1.4,58,78.5
90,º”√ ,2021-09-11,24.8,19.5,28.2,,,,7.9,4.4,1.6,31,63.1
90,º”√ ,2021-09-12,22.3,19,26.5,0,0,0,6,4.3,1.3,60,73.9
90,º”√ ,2021-09-13,21.8,18.4,25.6,.2,.5,.7,9,6.2,2.8,61,78.8
90,º”√ ,2021-09-14,21.4,17,26,,,,4.8,3.5,1.4,62,78.4
90,º”√ ,2021-09-15,21.7,18.8,25.5,.7,.9,1.1,8.7,3.7,1.9,59,74.1
90,º”√ ,2021-09-16,20.7,17.3,25.2,0,0,0,3.4,2.1,1.3,63,78.1
90,º”√ ,2021-09-17,21.3,19,24.7,1.1,1.5,2.9,8.1,5.1,1.4,64,82.5
90,º”√ ,2021-09-18,21.2,18.6,24.6,3.6,6.7,7.8,6.5,3.4,1.6,70,83.8
90,º”√ ,2021-09-19,20.8,17.2,24.2,,,,4.2,2.8,1.2,66,80.4
90,º”√ ,2021-09-20,21.4,16.8,26.4,0,0,0,9.4,6,1.9,64,79.9
90,º”√ ,2021-09-21,22.5,18.5,28.8,.7,1.7,3.9,10.1,3.9,1.2,48,74.8
90,º”√ ,2021-09-22,22.8,20.3,26.5,,,,10.7,5.3,2.6,44,53.6
90,º”√ ,2021-09-23,21.4,17.1,26.1,,,,11.8,5.4,2,40,59.1
90,º”√ ,2021-09-24,19.7,16.8,23.6,6.8,9.2,11.4,7.1,4.9,1.9,70,82.3
90,º”√ ,2021-09-25,18.2,17.1,19.4,1,2.1,9.4,4.4,2.8,1,92,96
90,º”√ ,2021-09-26,19.8,16.7,24,,,,4.1,2.8,1.4,60,80.9
90,º”√ ,2021-09-27,19,16.1,22.6,0,0,0,2.5,1.8,.9,59,80.8
90,º”√ ,2021-09-28,19.5,17.3,22.1,.2,.4,.6,4.3,3,.9,65,82.1
90,º”√ ,2021-09-29,18.1,16,19.8,.4,1.3,4.6,11.9,8.7,1.5,88,94.5
